FacilityNPI,Organisationid,SNo,ServiceCode,DiagnosisTestorServiceName,OrganisationPrices,FacilityPrices
500,ORG-276,1,S-1,2D Echo,120,500
500,ORG-276,2,S-2,4D Scan,234,600
500,ORG-276,3,S-3,ACTH (Adreno Corticotropic Hormone) Test,4354,700
500,ORG-276,4,S-4,Adenosine Deaminase Test,355,800
500,ORG-276,5,S-5,AEC (Absolute Eosinophil Count) Test,455,900
501,ORG-276,6,S-6,AFB (Acid Fast Bacilli) Culture Test,322,1000
501,ORG-276,7,S-7,AFP (Alpha Feto Protein) Test,780,1100
501,ORG-276,8,S-8,Alberts Stain,6767,1200
501,ORG-276,9,S-9,Albumin Test,900,1300
501,ORG-276,10,S-10,Aldolase Test,567,1400
