FacilityNPI,Organisationid,SNo,ServiceCode,DiagnosisTestorServiceName,OrganisationPrices,FacilityPrices
302,ORG-277,1,S-1,2D Echo,1120,5220
302,ORG-277,2,S-2,4D Scan,23,
302,ORG-277,3,S-3,ACTH (Adreno Corticotropic Hormone) Test,1025,
302,ORG-277,4,S-4,Adenosine Deaminase Test,271,
302,ORG-277,5,S-5,AEC (Absolute Eosinophil Count) Test,2608,5400
302,ORG-277,6,S-6,AFB (Acid Fast Bacilli) Culture Test,873,1000
302,ORG-277,7,S-7,AFP (Alpha Feto Protein) Test,1996,2000
302,ORG-277,8,S-8,Alberts Stain,185,
302,ORG-277,9,S-9,Albumin Test,3386,4000
302,ORG-277,10,S-10,Aldolase Test,249,
